SBP,140,410.69,393.9,424.64,514.65,438.20
MLB,510,512.41,359.52,426.63,451.68,480.97
STT,245,243.07,477.51,520.83,396,393.89
BGR,435,436.78,445.31,509.66,435.78,434.35
LAN,350,352.82,433.75,406.64,390.29,425.20
GNV,405,403.68,437.83,473.37,373.7,424.79
BIS,430,429.76,530.68,416.65,415.36,386.08
GTF,450,448.26,424.13,424.01,520.19,399.32
MGM,250,252.09,483.54,347.63,438.1,447.76
MRY,170,169.69,420.17,423.01,455.49,237.12
JNU,365,365.78,479.64,240.71,495.04,269.25
ELM,415,414.92,388.31,414.36,480.05,395.29
EVV,475,473.93,499.28,472.12,408.54,398.22
BFL,370,367.82,457.79,563.19,443.33,369.71
DRO,485,483.88,389.52,514.91,518.96,558.24
MOT,515,516.86,556.48,504.05,431.31,433.52
DLH,410,408.79,456,420.98,421.6,483.78
HTS,475,476.5,263.8,249.63,419.78,500.76
SCE,465,466.01,507.68,541.88,514.41,526.58
PBG,475,476.79,222.38,450.62,465.98,491.09
MBS,430,430.78,500.37,404.57,435.66,472.46
AEX,595,595.65,507.13,422.49,237.31,235.83
IDA,430,428.23,470.44,485.29,453.16,486.91
CWA,380,380.74,461.05,496.1,512.64,180.80
EWN,405,406.92,431.83,516.35,437.24,533.91
FCA,220,218.81,483.8,539.4,458.51,440.33
BGM,560,559.83,451.97,501.01,379.93,290.83
ITH,535,535.96,418.15,456.05,280.03,421.60
TVC,450,451.15,542.62,454.66,536.08,574.47
LNK,425,423.98,471.55,238.3,569.76,491.79
PSE,430,429.77,260.59,483.71,538.51,574.65
EYW,585,586.83,381.58,462.2,436.47,435.19
AZO,260,259.08,587.92,282.71,230.78,442.58
ERI,505,506.66,407.28,272.7,264.55,493.98
LRD,410,409.1,431.43,441.5,500.53,598.59
GFK,390,392.45,467.29,464.89,419.18,478.61
MLU,460,457.49,496.9,371.44,519.82,410.53
STS,605,600,268.43,572.56,496.08,239.49
IFP,375,376.9,184.94,425.19,274.91,475.71
RFD,565,565.1,207.84,517.99,445.01,445.45
ASE,475,474.48,500.49,491.09,208.76,395.95
JAC,240,237.94,530.54,417.2,594.99,111.78
ABI,390,392.14,516,504.89,456.37,342.13
YUM,490,488.68,492.79,450.72,470.97,569.51
LSE,485,482.11,571.79,517.59,487.94,543.54
BKG,540,541.9,304.3,536.98,468.87,213.03
HLN,445,445.09,533.15,363.53,352.36,595.92
RST,450,448.68,472.7,137.66,476.22,524.30
LYH,530,531.68,489.29,481.11,526.75,478.27
CMI,445,446.83,487.85,290.76,554.87,522.89
CPR,235,235.67,412.24,368.3,510.68,397.01
FSM,250,250.84,497.98,555.28,378.43,376.66
TYR,360,360.34,494.8,467.31,429.62,299.48
SBY,395,394.66,378.09,191.14,334.44,519.07
CLD,500,501.98,295.7,473.32,458.2,661.13
FLO,470,467.85,385.34,487.76,486,296.03
STX,490,488.32,588.29,356.97,184.3,395.99
PGV,370,372.43,419.53,200.15,127.82,509.99
ACV,265,265.18,502.14,409.95,366.26,306.03
SPI,480,477.29,347.97,467.27,446.49,483.45
CLL,355,354.62,511.63,509.21,591.34,432.11
KTN,320,322.28,486.68,488.61,367.05,144.64
ACT,400,397.48,469.9,324.26,499.65,549.37
LAW,385,383.87,494.32,473.8,400.37,475.89
TOL,140,138.99,289.42,143.59,466.62,194.26
SCK,475,475.48,154.91,515.97,457.58,508.53
LCH,225,225.07,515.88,530.29,415.95,517.33
FNL,480,481.1,153.95,422.08,400.99,425.82
GUM,500,500.71,1706.68,486.74,280.78,479.36
LWS,1485,1485.13,459.29,477.39,421.41,301.66
BRO,495,493.43,509.3,542.56,452.59,500.29
MHK,280,282.03,453.77,1674.65,525.81,370.00
FLG,430,432.9,456.79,268.89,156.14,529.33
CSG,125,127.98,558.21,468.77,317.47,520.47
SJT,495,495.3,468.02,457.02,396.67,450.47
LBE,420,418.98,137.97,421.76,1497.67,500.45
YKM,480,482.99,425.03,579.79,351.69,161.38
BET,415,414.44,446.09,378.83,531.47,284.54
RDD,455,453.94,366.26,444.11,564.69,559.93
SPS,225,226.05,435.23,436.79,335.85,330.18
EAT,580,580.65,406.01,319.26,154.56,474.75
SMX,345,345.79,397.03,395.13,258.7,363.05
MQT,445,446.99,480.93,474,362.56,392.07
VLD,110,111.46,534.48,377.9,359.09,1464.28
YNG,505,505.84,155.14,424.04,285.95,568.61
PGD,450,447.74,122.95,437.32,247.78,474.56
SGU,510,511.65,163.62,269.52,122.23,347.12
COU,395,394.46,434.77,531.22,454.7,170.37
GCC,360,362.26,358.88,130.36,308.64,393.90
SIT,165,164.33,426.97,137.58,456.01,264.36
GRI,320,321.49,230.41,394.53,497.2,162.03
HVN,370,368.93,389.32,510.04,397.62,182.18
DHN,140,137.03,680.24,309.97,579.81,593.01
TWF,315,315.15,175.32,164.04,652.01,313.74
CIC,440,439.5,310.29,348.36,405.9,561.64
ROW,405,403.63,475.39,667.87,165.74,275.87
JLN,165,166.44,372.62,552.58,551.88,409.77
DBQ,510,509.3,467.54,609.54,469.27,721.11
RKS,470,467.68,287.49,300.15,153.19,493.18
CMX,285,285.55,347.2,686.9,551.84,453.68
HHH,745,745.34,495.23,425.57,654.87,458.49
SCC,280,278.42,521.94,463.97,485.57,314.34
ABY,470,471.64,593.7,344.23,476.82,426.35
MOD,485,483.51,325.75,155.64,167.58,562.26
EAU,335,336.33,307.82,487.98,462.9,504.15
PUW,310,310.83,321.28,112.23,249.96,511.74
IAG,340,339.62,143.17,590.32,155.6,378.10
MTJ,300,302.75,555.11,478.6,356.33,122.15
GTR,495,495.15,546.85,559.2,503.7,495.05
DUT,585,584.82,897.96,184.7,276.05,332.14
IPT,550,548.44,511.94,349.57,570.77,587.54
PAH,490,491.18,315.54,587.43,352.59,331.44
ADQ,315,313.67,633.99,336.1,270.01,544.27
ALW,660,657.86,371.1,326.66,589.33,316.60
COD,335,333.91,339.43,364.35,580.73,199.98
BQK,560,562.45,428.43,212.28,297.78,266.28
TXK,180,179.63,602.29,304.64,140.63,568.55
LMT,420,421.41,316.53,284.54,550.9,605.57
SUN,320,318.01,245.78,555.09,544.8,336.69
PUB,200,198.16,198,1050.47,550.37,206.62
SAF,1000,997.78,481.09,500.97,486.71,496.14
OTH,560,560.9,309.47,500.11,951.11,708.19
PPG,165,164.4,1027.58,335.35,414.71,487.10
BTM,545,545.58,578.03,471.44,441.78,584.53
HDN,380,381.65,483.46,546.79,255.3,585.43
OME,155,156.28,575.47,367.06,321.67,434.51
OTZ,925,924.75,559.11,610.4,478.02,573.58
GGG,535,536.05,433.98,437.43,256.69,153.77
BRW,415,414.34,585.14,387.54,532.14,351.05
EGE,570,572.2,651.06,565.1,214.92,987.04
SUX,300,301.6,511.51,211.79,411.55,207.02
EKO,530,529.95,179.28,564.16,582.04,487.70
PIH,610,607.84,191.6,180.26,149.61,574.99
